document,predicted,ground_truth,precision,recall,f1_score
"The threshold values for removing large caters were determined by examining the craters within the study area, referencing previous studies (Molloy and Stepinski, 2007), and some trial and error. After the parameter values are determined, the rest of the process is automated. However, we do anticipate some minimum manual editing may be needed in some complicated terrains when apply it to all of Mars. To minimize the distortion resulted from map projection on global datasets, we will choose an equal area projection by evaluating the options suggested in Steinwand et al. (1995) or conduct geodesic area calculation using software such as “Tools for Graphics and Shapes” (http://www.jennessent.com/arcgis/shapes_graphics.htm)Although post-formational modification to the valleys may be minimum (Williams and Phillips, 2001), there may nonetheless be modifications such as eolian fill and mass wasting (e.g., Grant et al., 2008). Thus the volume estimates derived with PBTH method represents a lower bound. Comparing the estimates from MOLA and HRSC data reveals that MOLA estimate is about 91% of HRSC value. However, MOLA has global coverage whereas HRSC does not. Therefore, for areas where there is only MOLA coverage, the estimate may be scaled upward by 1.1 times. The algorithm has been tested on DEMs with various resolutions (2 m for simulated DEM, 75m for HRSC, and 463m for MOLA). It can certainly be applied to higher resolution DEMs for Mars when they become available, but the threshold values will need to be adjusted.","geodesic area calculation, various resolutions, higher resolution dems, scaled upward, parameter values, dems, hrsc data, threshold values, study area, valleys, previous studies, pbth method, automated process, algorithm, post-formational modification, mars, global coverage, volume estimates, mola, equal area projection, complicated terrains, global datasets, large craters, mass wasting, manual editing, map projection, eolian fill, trial and error, lower bound","manual editing, mola, dem, dems, the threshold values for removing large caters were determined, pbth method, hrsc",0.138,0.571,0.222
"The test cases confirm that the high-order discretisation retains exponential convergence properties with increasing geometric and expansion polynomial order if both the solution and true surface are smooth. Errors are found to saturate when the geometric errors, due to the parametrisation of the surface elements, begin to dominate the temporal and spatial discretisation errors. For the smooth solutions considered as test cases, the results show that this dominance of geometric errors quickly limits the effectiveness of further increases in the number of degrees of freedom, either through mesh refinement or higher solution polynomial orders. Increasing the order of the geometry parametrisation reduces the geometric error. The analytic test cases presented here use a coarse curvilinear mesh; for applications, meshes are typically more refined in order to capture features in the solution and so will better capture the geometry and consequently reduce this lower bound on the solution error. If the solution is not smooth, we do not expect to see rapid convergence. In the case that the solution is smooth, but the true surface is not, then exponential convergence with P and Pg can only be achieved if, and only if, the discontinuities are aligned with element boundaries. However, if discontinuities lie within an element, convergence will be limited by the geometric approximation, since the true surface cannot be captured. In the cardiac problem, we consider both the true surface and solution to be smooth.","high-order discretisation, exponential convergence, discontinuities, solution polynomial orders, expansion polynomial order, solution error, curvilinear mesh, element boundaries, analytic test cases, geometric errors, spatial discretisation errors, cardiac problem, solution features, smooth solution, geometry parametrisation, geometric order, mesh refinement, surface elements, smooth surface, non-smooth solution, temporal discretisation errors, refined meshes, degrees of freedom, parametrisation","exponential convergence, coarse curvilinear mesh, geometric approximation, true surface, reduce this lower bound, element boundaries, analytic test cases, cardiac problem, parametrisation of the surface elements, geometry parametrisation, meshes, mesh refinement, capture the geometry, geometric error, element, pg, smooth solutions, solution, p",0.25,0.316,0.279
"Inequality (22) indicates that the maximum-norm is the loosest among all p-norms. Fortunately, this loosest constraint would not seriously affect the accuracy since the value of ||y||∞ is comparable to that of the 2-norm and 1-norm. The maximum-norm provides us with the largest number of possible solutions under a given error limitation [24]. This would greatly enhance the possibility of finding a group of optimized coefficients when scanning a vast solution set. On the other hand, checking the maximum deviation sounds more reasonable than checking the “distance” between the accurate and approximated wave numbers since it is not working in the space domain. Therefore, we chose the maximum-norm as our criterion for designing the objective functions to extend the accurate wave number coverage as widely as possible.","1-norm, space domain, wave numbers, objective functions, 2-norm, coefficients, error limitation, accurate wave number coverage, solution set, maximum-norm, p-norms","objective functions, extend the accurate wave number coverage, optimized coefficients, inequality, vast solution set, maximum deviation",0.091,0.167,0.118
"Prior to assembling the miniature ADR, the mKCC MR heat switch could not be fully thermally characterised due to cryostat constraints. However, based on experiments and research conducted at MSSL on a range of tungsten heat switches, the thermal conductivity has been estimated. In Hills et al. [8], an equation is derived which allows the thermal conductivity (κ) below 6K to be calculated as a function of magnetic field (B) and temperature (T) (see Eq. (1)). To estimate the performance of the mKCC heat switch, the parameters in Eq. (1) have been taken from the measured thermal conductivity of another MSSL heat switch with the same 1.5mm square cross section, a free path length of 43cm and a RRR of 20,000; it has been observed from experiments conducted at MSSL that there is little change in the thermal performance for tungsten heat switches with a RRR between 20,000 and 32,000 (subject of a future publication) and therefore the performance of the 20,000 RRR heat switch has been assumed to be a good approximation. Fig. 5 gives the calculated thermal conductivity of the mKCC switch at 0, 1, 2 and 3T based on Eq. (1), where the constants b0, a1, a2, a3, a4 and n have the values 0.0328, 1.19×10−4, 3.57×10−6, 1.36, 0.000968 and 1.7 respectively. It should be noted that the calculated thermal conductivity of the mKCC switch presented in Fig. 5 has been validated by comparing the experimental results of the miniature ADR with modelled predictions (this is discussed in Section 3.3).(1)κ(T)=b0T2+1a1+a2T2T+Bna3T+a4T4","modelled predictions, experimental results, magnetic field, mkcc mr heat switch, hills et al., miniature adr, cryostat constraints, temperature, rrr, thermal performance, tungsten heat switches, thermal conductivity","mkcc heat switch, κ, magnetic field, b, mkcc mr heat switch, miniature adr, assembling the miniature adr, cryostat constraints, mkcc switch, mssl heat switch, thermal performance, thermally characterised, tungsten heat switches, thermal conductivity",0.583,0.5,0.538
"Plastically deformed MGs develop inhomogeneity and show harder and softer regions [16]. While this could in principle be associated with a BE according to the composite model, a MG provides no basis for a dislocation-based theory. The search for a BE in plastic flow is hindered by the softening of MGs associated with shear-banding (in contrast to the work-hardening familiar in conventional alloys). Anelastic deformation is, however, of interest as its time-dependence must relate to relaxation processes in the MG structure that in turn should be connected to the onset of plasticity. In particular, anelasticity may offer a way to study the operation of the shear transformation zones (STZs [17]) often used to interpret the deformation of MGs. Fujita et al. have used torsion tests to observe anelasticity in MGs loaded (at maximum, on the cylindrical sample surface) to 30%, 16% and just 4% of the shear yield stress τy [18]. In the present work we apply torsion to MG samples to reach stresses up to 24% of τy, and for the first time in the elastic regime investigate the effects of torque reversal.","torque reversal, dislocation-based theory, be, harder and softer regions, composite model, stzs, relaxation processes, elastic regime, shear yield stress, inhomogeneity, shear-banding, plastically deformed mgs, anelastic deformation","search for a be in plastic flow, shear transformation zones, stzs, mg, mgs, anelastic deformation",0.154,0.333,0.211
"The Substrate Induced Coagulation (SIC) coating process provides a self assembled and almost binder free coating with small particles. Most research so far has been used to coat a variety of surfaces with highly conductive carbon blacks [34,35,36]. Layers deposited by this technique have been used in electromagnetic wave shielding, in the metallization process of through-holes in printed wiring boards, and in the manufacture of conducting polymers (such as Teflon) [37,38,39]. An advantage of this dip-coating process is that it can be used for any kind of surface, provided the substrate is stable in water and that the particles used for the coating form a meta-stable dispersion. Recently, a non-aqueous SIC coating process of carbon black was developed by investigating the stabilities of non-aqueous dispersions [36]. These dispersions were used to prepare LiCoO2-composite electrodes for Li-ion batteries with an improved conductivity while keeping the content of active battery material high [35].","metallization process, electromagnetic wave shielding, highly conductive carbon blacks, meta-stable dispersion, printed wiring boards, licoo2-composite electrodes, small particles, improved conductivity, binder free coating, non-aqueous sic coating, sic coating process, through-holes, li-ion batteries, conducting polymers, self assembled coating, active battery material, teflon, dip-coating process, substrate induced coagulation","carbon blacks, electromagnetic wave shielding, sic, metallization, conducting polymers, printed wiring boards, carbon black, coating, substrate induced coagulation, teflon",0.263,0.5,0.345
"Global optimisation algorithms are used in this study to solve the optimisation problem as they are known to be efficient in incorporating statistical information and dealing with complicated objective functions that have multiple local minima/maxima. The genetic algorithm (GA) is such a global optimisation technique that mimics biological evolution processes and is used in this particular study. The algorithm starts with a random selection of a population from the decision variable domain (X). The genetic algorithm repeatedly modifies this population. At each step, the algorithm selects a group of individual values from the population (parent) which are evolved through crossover or mutation to produce members of the next generation. This process is repeated for several generations until an optimum solution is reached. See [19] for a fuller description of the GA.","crossover, statistical information, biological evolution, mutation, optimisation problem, global optimisation algorithms, decision variable domain, population, multiple local minima/maxima, genetic algorithm, optimum solution","crossover, x, objective functions, mimics biological evolution processes, global optimisation technique, mutation, ga, incorporating statistical information, global optimisation algorithms, decision variable domain, population, selects a group of individual values, parent, genetic algorithm, solve the optimisation problem",0.545,0.4,0.462
"Fig. 11 shows the wear-mode map of RH ceramics, in which the early-stage friction coefficients and the surface roughness of the pure surface were chosen. The value of the fracture toughness of RH ceramics was calculated based on the reference data in other literature [22]. The Sc of RH ceramics was smaller than Sc,critical under all tested conditions during the initial stage of friction. Thus, the initial wear mode of RH ceramics was powder formation or plowing. In addition, powder formation and plowing can be distinguished using a dimensionless parameter (Sc⁎) and a critical parameter (Sc,critical⁎).(3)Sc⁎=HvRmaxKIc(4)Sc,critical⁎=51+10μwhere Hv is the Vickers hardness of RH ceramics [Pa]. The initial wear mode of RH ceramics was determined as powder formation under all tested conditions, as demonstrated in Fig. 12(a). Furthermore, the wear-mode map at 2×104 cycles was constructed, as shown in Fig. 12(b). In the map, all plots moved near the transition curve to plowing. In particular, the plots for RH ceramics sliding against stainless steel or Al2O3 balls were nearer than SiC or Si3N4 balls. Therefore, RH ceramics sliding against SiC and Si3N4 balls showed relatively higher wear than the other counterpart materials. Nevertheless, these results from the wear-mode maps indicated that the wear mode of RH ceramics was powder formation accompanied with microcracks under all tested conditions in this study, resulting in low wear (<5×10−9mm2/N). Indeed, the observation of the worn surfaces revealed that the catastrophic wear of RH ceramics accompanied by large brittle fracture was prevented overall, as shown in Fig. 13.","plowing, surface roughness, microcracks, fracture toughness, friction coefficients, powder formation, dimensionless parameter, critical parameter, sic, low wear, rh ceramics, vickers hardness, si3n4, brittle fracture, wear-mode map, stainless steel, al2o3","plowing, al2o3 balls, powder formation, critical parameter, dimensionless parameter, sic or si3n4 balls, vickers hardness, sc⁎, stainless steel, sic and si3n4 balls",0.353,0.6,0.444
"This figure demonstrates that changes in the measure of bitumen content create sizable differences in the stiffness modulus of asphaltic samples that include waste glass cullet. As the percentage of glass increases, the measure of the stiffness modulus of modified asphalt increases too. But with pass of optimum measure of glass the stiffness modulus of asphaltic samples decrease. This trend in total of percentages of bitumen content is existing. Due to that waste glass cullet has no suction; the trend does not extend to measuring the stiffness modulus of asphaltic samples including waste glass cullet with different percentage of bitumen content. Glass particles do not absorb any bituminous material, so it is necessary to decrease the bitumen content with the addition of glass cullet. According to Fig. 2 and the results of the Marshall tests, the optimum bitumen measures decrease significantly in samples that include higher percentages of waste glass cullet. As the percentage of optimum bitumen content is 1% more in samples without waste glass cullet in comparison with saphaltic samples that include 20% waste glass cullet. The stiffness modulus of asphaltic samples that include waste glass cullet increased due to additional interlocking between the aggregate and the angularity of particles of glass cullet content. The increase in the intrusive friction angle because of the glass particles’ increased angularity is the main reason for the addition of the stiffness modulus of asphaltic samples that include waste glass cullet. But as the percentage of glass content reaches greater than 15%, the particles’ abundance cause slip these particles on together. The stiffness modulus of samples decreases as the percentage of glass cullet increases. The variations in the stiffness modulus of asphaltic samples that include different percentages of waste glass cullet at different temperature are shown in Fig. 3.","waste glass cullet, marshall tests, angularity of particles, intrusive friction angle, asphaltic samples, percentage of glass, optimum bitumen measure, bitumen content, stiffness modulus, aggregate","marshall tests, glass, saphaltic samples, asphaltic samples, modified asphalt, stiffness modulus, particles, bitumen, interlocking, bituminous material",0.3,0.3,0.3
"The Discrete Element Method applied to spheres is well established as a reasonably realistic tool, in a wide range of engineering disciplines, for modelling packing and flow of granular materials; Asmar et al. [8] describes the fundamentals of this method as applied by code developed in-house at Nottingham; since these are widely documented the details are not reproduced here, simply a summary. It applies an explicit time stepping approach to numerically integrate the translational and rotational motion of each particle from the resulting forces and moments acting on them at each timestep. The inter-particle and particle wall contacts are modelled using the linear spring–dashpot–slider analogy. Contact forces are modelled in the normal and tangential directions with respect to the line connecting the particles centres. Particle elastic stiffness is set so sphere “overlap” is not significant and moderate contact damping is applied. Particle cohesion can also be modelled but is assumed to be negligible in the current study. The translational and rotational motion of each particle is modelled using a half step leap-frog Verlet numerical integration scheme to update particle positions and velocities. Near-neighbour lists are used to increase the computational efficiency of determining particle contacts and a zoning method is used each time the list is composed; that is the system is divided into cubic regions, each particle centre is within one zone, and potential contacting particles are within the same or next-door neighbour zones. Full details are given in Asmar et al. [8].","spheres, leap-frog verlet, particle cohesion, translational motion, zoning method, normal direction, rotational motion, linear spring–dashpot–slider analogy, near-neighbour lists, particle wall contacts, tangential direction, explicit time stepping, inter-particle contacts, granular materials, particle elastic stiffness, discrete element method","velocities, particle, spheres, translational and rotational motion, zoning method, numerically integrate, contacting particles, explicit time stepping approach, linear spring–dashpot–slider analogy, sphere, contact forces, particles centres, moments, granular materials, forces, contact damping, discrete element method",0.312,0.294,0.303
"DPD was first proposed in order to recover the properties of isotropy (and Galilean invariance) that were broken in the so-called lattice-gas automata method [5]. In DPD, each body is regarded as a coarse-grained particle. These particles interact in a soft (and short-ranged) potential, allowing larger integration timesteps than would be possible in MD, while simultaneously decreasing the number of degrees of freedom required. As in Langevin dynamics, a thermostat consisting of well-balanced damping and stochastic terms is applied to each particle. However, unlike in Langevin dynamics, both terms are pairwise and the damping term is based on relative velocities, leading to the conservation of both the angular momentum and the linear momentum. The property of Galilean invariance (i.e., the dependence on the relative velocity) makes DPD a profile-unbiased thermostat (PUT) [6,7] by construction and thus it is an ideal thermostat for nonequilibrium molecular dynamics (NEMD) [8]. The momentum is expected to propagate locally (while global momentum is conserved) and thus the correct hydrodynamics is expected in DPD [8], as demonstrated previously in [9]. Due to the aforementioned properties, DPD has been widely used to recover thermodynamic, dynamical, and rheological properties of complex fluids, with applications in polymer solutions [10], colloidal suspensions [11], multiphase flows [12], and biological systems [13]. DPD has been compared with Langevin dynamics for out-of-equilibrium simulations of polymeric systems in [14], where as expected the correct dynamic fluctuations of the polymers were obtained with the former but not with the latter.","galilean invariance, short-ranged potential, damping term, stochastic term, linear momentum, langevin dynamics, colloidal suspensions, relative velocities, multiphase flows, angular momentum, hydrodynamics, biological systems, complex fluids, dynamical properties, coarse-grained particle, nonequilibrium molecular dynamics (nemd), rheological properties, polymer solutions, isotropy, thermodynamic properties, soft potential, dpd, thermostat, profile-unbiased thermostat (put), lattice-gas automata","galilean invariance, linear momentum, nonequilibrium molecular dynamics, langevin dynamics, dependence on the relative velocity, colloidal suspensions, particles, multiphase flows, angular momentum, biological systems, dynamic fluctuations, complex fluids, polymer solutions, isotropy, put, polymeric systems, md, dpd, thermostat, polymers, nemd",0.48,0.571,0.522
"Fig. 7 shows the relationship between the testing time and friction coefficients of various samples under dry conditions. There exist running in and steady wear period in the wear process of uncoated AZ31 and anodizing coating without Al2O3 nanoparticles while there has a steady wear period only in the wear process of composite anodizing coating with Al2O3 nanoparticles. At the same time, the addition of nano-particles to electrolyte led to reduction of friction coefficient. The friction coefficient of composite coating is relatively lower and more stable than what has been reported in literature [24,25] for anodizing coatings. This may be caused by “rolling effect” made by Al2O3 nanoparticles on the surface of oxide coating. Spherical nanoparticles change sliding into rolling, which reduce friction, making the friction coefficient becomes more stable. The friction coefficient of anodizing coating without Al2O3 nanoparticles has large fluctuation maybe for the damage of coating. In contrast to the uncoated AZ31 magnesium alloy, the anodizing coatings show slightly lower friction coefficient. This can be attributed to their higher load-bearing capacity for high hardness.","damage of coating, composite coating, electrolyte, steady wear period, friction coefficients, uncoated az31, running in period, high hardness, nano-particles, composite anodizing coating, rolling effect, magnesium alloy, al2o3 nanoparticles, spherical nanoparticles, load-bearing capacity, reduction of friction coefficient, dry conditions, anodizing coating, testing time","wear process, friction coefficient, anodizing coatings, friction coefficients, reduce friction, al2o3 nanoparticles, spherical nanoparticles, uncoated az31, coating, “rolling effect”, electrolyte, testing time",0.316,0.5,0.387
"We define a new multispecies model of Calogero type in D dimensions with harmonic, two-body and three-body interactions. Using the underlying conformal SU(1,1) algebra, we indicate how to find the complete set of the states in Bargmann–Fock space. There are towers of states, with equidistant energy spectra in each tower. We explicitely construct all polynomial eigenstates, namely the center-of-mass states and global dilatation modes, and find their corresponding eigenenergies. We also construct ladder operators for these global collective states. Analysing corresponding Fock space, we detect the universal critical point at which the model exhibits singular behavior. The above results are universal for all systems with underlying conformal SU(1,1) symmetry.We define a new multispecies model of Calogero type in D dimensions with harmonic, two-body and three-body interactions. Using the underlying conformal SU(1,1) algebra, we indicate how to find the complete set of the states in Bargmann–Fock space. There are towers of states, with equidistant energy spectra in each tower. We explicitely construct all polynomial eigenstates, namely the center-of-mass states and global dilatation modes, and find their corresponding eigenenergies. We also construct ladder operators for these global collective states. Analysing corresponding Fock space, we detect the universal critical point at which the model exhibits singular behavior. The above results are universal for all systems with underlying conformal SU(1,1) symmetry.","1) symmetry, equidistant energy spectra, d dimensions, singular behavior, eigenenergies, global collective states, fock space, 1) algebra, calogero type, conformal su(1, multispecies model, harmonic interactions, towers of states, center-of-mass states, global dilatation modes, bargmann–fock space, three-body interactions, ladder operators, polynomial eigenstates, universal critical point, two-body interactions","define a new multispecies model of calogero type in d dimensions, analysing corresponding fock space, equidistant energy spectra, find their corresponding eigenenergies, construct ladder operators, construct all polynomial eigenstates",0.048,0.167,0.074
"Typical physically-based 2D flood models solve the Shallow Water Equations (SWEs), requiring high computational resources. Many of these models have been developed to obtain better performance, while maintaining the required accuracy, by reducing the complexity of the SWEs. This reduction is usually achieved by approximating or neglecting less significant terms of the equations (Hunter et al., 2007; Yen and Tsai, 2001). The JFLOW model (Bradbrook et al., 2004), Urban Inundation Model (UIM) (Chen et al., 2007), and the diffusive version of LISFLOOD-FP (Hunter et al., 2005) solve the 2D diffusion wave equations that neglect the inertial (local acceleration) and advection (convective acceleration) terms (Yen and Tsai, 2001). The inertial version of LISFLOOD-FP (Bates et al., 2010) solves the SWEs without the advection term. In either version of LISFLOOD-FP the flow is decoupled in the Cartesian directions. Other models use the full SWEs but focus on the use of multi resolution grids or irregular mesh, like InfoWorks ICM (Innovyze, 2012) and MIKE FLOOD (DHI Software, 2014; Hénonin et al., 2013). These last two models are commercial packages, and the code applied in the optimisation techniques is not in the public domain.","model accuracy, computational resources, diffusion wave equations, infoworks icm, advection terms, commercial packages, lisflood-fp, mike flood, multi resolution grids, model performance, 2d flood models, shallow water equations (swes), irregular mesh, inertial terms","cartesian directions, 2d diffusion wave equations, jflow, reducing the complexity of the swes, shallow water equations, infoworks icm, uim, urban inundation model, multi resolution grids or irregular mesh, mike flood, swes",0.143,0.182,0.16
"Contact methods have been developed and used in Lagrangian staggered-grid hydrodynamic (SGH) calculations for many years. Early examples of contact methods are discussed in Wilkins [37] and Cherry et al. [7]. Hallquist et al. [17] provides an overview of multiple contact algorithms used in various Lagrangian SGH codes dating back to HEMP [37]. Of particular interest, Hallquist et al. [17] describes the contact surface scheme used in TOODY [31] and later implemented in DYNA2D [36]. The contact method of TOODY uses a master–slave approach. The goal of this approach is to treat the nodes on the contact surface in a manner similar to an internal node. The physical properties of the slave surface are interpolated to a ghost mesh (termed phony elements in [17]) that overlays the slave zones. The physical properties are interpolated from the slave surface to the ghost zones using surface area weights. The surface area weights are equal to the ratio of the ghost zone surface area to the surface area of the master surface. The contact surface method for nodal-based Lagrangian cell-centered hydrodynamics (CCH) presented in this paper will use surface area weights similar in concept to those in TOODY. Following the area fraction approach of TOODY may seem retrospective; however, using surface area weights naturally extends to the new CCH methods that solve a Riemann-like problem at the node of a zone [10,24,25,3].","toody, contact methods, wilkins, hemp, master–slave approach, hallquist et al., surface area weights, ghost mesh, lagrangian staggered-grid hydrodynamic (sgh) calculations, riemann-like problem, nodal-based lagrangian cell-centered hydrodynamics (cch), phony elements, cherry et al., dyna2d","toody, contact algorithms, contact methods, ghost zones, sgh, phony elements, hemp, internal node, cch, surface area, lagrangian sgh, slave surface, nodes, slave zones, area fraction approach, ghost zone surface area, master–slave approach, contact method, contact surface, ghost mesh, master surface, dyna2d",0.5,0.318,0.389
"ObjectiveElectrically evoked auditory steady-state responses (EASSRs) are neural potentials measured in the electroencephalogram (EEG) in response to periodic pulse trains presented, for example, through a cochlear implant (CI). EASSRs could potentially be used for objective CI fitting. However, EEG signals are contaminated with electrical CI artifacts. In this paper, we characterized the CI artifacts for monopolar mode stimulation and evaluated at which pulse rate, linear interpolation over the signal part contaminated with CI artifact is successful.MethodsCI artifacts were characterized by means of their amplitude growth functions and duration.ResultsCI artifact durations were between 0.7 and 1.7ms, at contralateral recording electrodes. At ipsilateral recording electrodes, CI artifact durations are range from 0.7 to larger than 2ms.ConclusionAt contralateral recording electrodes, the artifact was shorter than the interpulse interval across subjects for 500pps, which was not always the case for 900pps.SignificanceCI artifact-free EASSRs are crucial for reliable CI fitting and neuroscience research. The CI artifact has been characterized and linear interpolation allows to remove it at contralateral recording electrodes for stimulation at 500pps.","monopolar mode stimulation, duration, ci fitting, ipsilateral recording electrodes, cochlear implant, contralateral recording electrodes, ci, eeg, electrically evoked auditory steady-state responses, ci artifacts, amplitude growth functions, interpulse interval, linear interpolation, electroencephalogram, eassrs","ipsilateral recording electrodes, cochlear implant, contralateral recording electrodes, neuroscience research, characterized the ci artifacts for monopolar mode stimulation, ci, eeg, linear interpolation, eassrs, electroencephalogram, neural potentials",0.533,0.727,0.615
"Although the basic mechanisms of the AD process are reasonably well understood, it has not proved simple to apply existing theories to the interpretation of experimental data. What is needed is a combination of the AD theory and the electronic structure of realistic systems, including surface defects and adsorbed species. Such electronic structure calculations are still complex and time-consuming. In many cases, especially for insulating surfaces, attempts to model MIES spectra use simple or intuitive models. In Refs. [4,6,23] it is assumed that the main transition mechanism is Auger de-excitation, and the MIES spectra have been simulated by the surface density of states (DOS) projected on the surface oxygen ions of the uppermost surface layer using a Hartree–Fock method (the crystal code [24,25]) and a density functional theory (DFT) method (the cetep code [26]). The effect of the overlap between the surface and He(1s) wavefunctions was taken into account only approximately by applying an additional z-dependent exponential factor to the surface DOS. Other workers [5,6] estimated the AD transition probability using a DOS projected on to the projectile 1s atomic orbital. However, they were not able to use state-of-the-art methods for the surface electronic structure. Yet the success of the simplified treatments [4–6], especially for MIES features such as relative energies of the different peaks, suggests that real spectra are indeed related to the projection of the surface DOS on to the projectile orbital.","electronic structure, projectile 1s atomic orbital, hartree–fock method, density functional theory (dft), auger de-excitation (ad), surface density of states (dos), mies spectra, surface defects, adsorbed species","surface oxygen ions, crystal code, hartree–fock method, dft, ad, dos, surface defects, mies, density functional theory, density of states, adsorbed species, cetep code",0.333,0.25,0.286
"In this paper, we present our experimental observations on how solvents can vary the TPA and TPF properties of fluorescent rhodamine (Rh) dyes Rh6G, RhB and Rh101. Rhodamines are well-known xanthenes dyes, which have been extensively used for many widespread applications in single-molecule detection [24], DNA-sequence determination [25], fluorescence labelling [26], etc. due to their strong fluorescence over the visible spectral region. Molecular geometries of rhodamine dyes are well-known [27,28] and indicate that all the structures are non-centrosymmetric. In general, for centrosymmetric molecules, TPA is forbidden when tuned to the transitions at one-half of the excitation frequencies. However, for non-centrosymmetric molecules due to symmetry relaxations, the single-photon absorption (SPA) peaks and TPA peaks may coincide. So we set our primary aim to find the effect of solvent polarity on the correlation of SPA and TPA peaks for all the dyes.","tpa, rhb, xanthenes dyes, solvent polarity, spa peaks, rh6g, fluorescence labelling, tpa peaks, dna-sequence determination, fluorescent rhodamine dyes, single-molecule detection, tpf properties, rh101, non-centrosymmetric molecules","spa, tpa, centrosymmetric molecules, tpf, rh6g, symmetry relaxations, fluorescent rhodamine, rhodamines, rh101, fluorescence, dyes, rhb, rh",0.286,0.308,0.296
"Ultrasound (US) can initiate the release of drugs from liposomes via an event called inertial cavitation, whereby the rarefactional phase of an ultrasound wave causes the expansion of a gas bubble followed by a violent collapse due to the inertia of the surrounding media. This collapse creates shock waves which can disrupt the stability of co-localised liposomal drug carriers. To date, studies have concentrated on the use of low frequency or high intensity US to generate gas bubbles in situ, and most recently such parameters have been used to achieve a variable level of triggered drug release following an intratumoral injection of liposomes [14]. However, concerns persist over the damage to non-target tissue that such US exposure parameters may cause and whether ultimately they will be widely clinically applicable. An alternative strategy is to utilise high-frequency US pulses at pressures in the diagnostic range in the presence of pre-existing gas bubbles. This provides an inertial cavitation stimulus for drug release using safe, clinically achievable US exposure conditions and approved US contrast agents [15]. Indeed, in the context of improving the delivery of therapeutics such as oncolytic viruses, this approach has already shown great promise [16]. A further advantage of this approach is that US-induced cavitation events produce distinct acoustic emissions that can be recorded and characterised providing non-invasive feedback, a feature which has proven useful in ablative US applications [17–19].","acoustic emissions, liposomes, contrast agents, ultrasound, high-frequency ultrasound, inertial cavitation, non-target tissue, non-invasive feedback, drug release, shock waves, oncolytic viruses, therapeutic delivery, diagnostic range, gas bubbles","us, gas bubble, liposomes, intratumoral injection, ultrasound, inertial cavitation, oncolytic viruses, gas bubbles",0.357,0.625,0.455
"We order the discrete unknowns so that the vector of unknowns, xPS=[X,L], contains the nx unknown nodal coordinates, followed by the nb unknown discrete Lagrange multipliers. The linear systems to be solved in the course of the Newton-based solution of Eq. (10), subject to the displacement constraint (9), then have saddle-point structure,(15)where E is the tangent stiffness matrix of the unconstrained pseudo-solid problem, and the two off-diagonal blocks Cxl and Clx=CxlT arise through the imposition of the displacement constraint by the Lagrange multipliers. We refer to [34] for the proof of the LBB stability of this discretisation; see also [35,36] for a discussion of the LBB stability of the Lagrange-multiplier-based imposition of Dirichlet boundary conditions in related problems. We note that during the first step of the Newton iteration, E is symmetric positive definite since it represents the tangent stiffness matrix relative to the system’s equilibrium configuration.","lagrange-multiplier-based imposition, discrete unknowns, discretisation, lbb stability, unconstrained pseudo-solid problem, discrete lagrange multipliers, newton iteration, nodal coordinates, displacement constraint, tangent stiffness matrix, linear systems, saddle-point structure, symmetric positive definite, dirichlet boundary conditions, vector of unknowns, off-diagonal blocks, newton-based solution","cxl, discretisation, lbb, lagrange multipliers, newton iteration, order the discrete unknowns, equilibrium configuration, nodal coordinates, displacement constraint, tangent stiffness matrix, dirichlet boundary conditions, vector of unknowns",0.412,0.583,0.483
"We addressed the question whether carbohydrate coupling increased antigen uptake by DCs via C-type lectin receptor targeting. Therefore, the antigens were labeled with pHrodo Red dye (Invitrogen), a dye that specifically fluoresces as pH decreases from neutral to acidic, as provided in endosomes/lysosomes of cells. In vitro characterization of the cellular uptake of neoglycocomplexes using bone marrow derived dendritic cells (BMDCs) demonstrated superior ingestion of mannan-conjugates MN–Ova and MN–Pap (Supplementary Fig. S4A-D,F). This was confirmed in vivo by intradermal needle-injection of labeled antigen into the ear pinnae of mice. Antigen uptake and transport to the ear dLNs were measured after 24h by FACS analysis. DCs in cervical LNs were identified according to their high expression of MHC class II (Fig. 3A) and additionally characterized by CD8α, CD11b, and CD11c expression and uptake of pHrodo-labeled antigen (Fig. 3B, D–F). The results showed significantly elevated numbers of pHrodo+MHCIIhigh DCs for mannan conjugates MN–Ova and MN–Pap (and to a lesser degree for MD–Pap) in comparison to the unmodified antigens (Fig. 3C). Both carbohydrates targeted antigen preferentially to CD8α− DCs, as indicated by an increase in CD8α−/pHrodo+ DCs compared to unmodified antigens (Fig. 3E and F). Nevertheless, whether the antigens were taken up in situ by dermal DCs or by LN resident APCs via the afferent lymphatics could not be fully elucidated. Histology revealed that antigen-loaded cells in the dLNs were already present 30min after intradermal injection (Supplementary Fig. S4G), suggesting both mechanisms.","dermal dcs, antigen uptake, cd8α− dcs, c-type lectin receptor, cd8α, cd11b, phrodo red dye, phrodo+mhciihigh dcs, dendritic cells, carbohydrate coupling, neoglycocomplexes, cd11c, bone marrow derived dendritic cells, facs analysis, intradermal injection, ln resident apcs, mannan-conjugates, mhc class ii","cd8α− dcs, mn–pap, antigens, facs analysis, invitrogen, cd8α, antigen, neoglycocomplexes, cd11c, mn–ova, bmdcs, phrodo red dye, carbohydrates, bone marrow derived dendritic cells, fluoresces, cd11b, ingestion, intradermal injection, md–pap",0.5,0.474,0.486
